Bore ID,Date,Catchment,GW level change (m),Temp,pH ,EC uS/cm,DO mg/L,tn,doc,Cyclopoida,Harpacticoid,Nauplii,Syncarid,Ostracod,Oligochaete,Nematoda,Acarina,Rotifera,Tardigrade,Collembola,Gastropod,Isopod ,Platyhelminths,Diptera,Amphipod,Chiromomidae,Species abundance,Species richness
30235,Dec-21,Namoi,0,21.7,7.09,471,1.87,N/A,N/A,0,0,0,0,0,0,1,3,3,0,2,0,0,0,0,0,0,9,4
30235,Jan-22,Namoi,0.04,22,6.77,463.8,2.16,3.088306,397.1175,0,0,0,0,0,1,1,1,2,0,0,2,0,0,0,0,0,7,5
30235,Apr-22,Namoi,0.135,22.5,7.37,341,2.87,3.435925,316.875,1,1,5,0,1,1,0,3,5,0,11,0,0,0,0,0,0,28,8
30235,Jul-22,Namoi,0.485,21.1,6.88,466.5,2.05,3.124543,518.96,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
30305,Dec-21,Namoi,0.77,21.7,6.77,1048,3.98,N/A,N/A,91,83,6,44,1,0,0,1,3,0,0,0,0,0,1,1,0,231,9
30305,Jan-22,Namoi,0,20.9,6.71,963,1.06,2.861951,2983.149,52,217,8,1,3,0,1,3,0,0,0,0,0,0,0,0,0,285,7
30305,Apr-22,Namoi,0.17,22.1,7.08,836,2.06,1.461376,2096.458,152,179,248,2,0,1,2,5,3,0,6,0,0,0,0,0,0,598,9
30305,Jul-22,Namoi,0.49,20.1,,940,2.5,0.857453,4302.92,44,19,76,0,0,0,0,1,1,0,0,0,0,0,0,0,0,141,5
30447,Dec-21,Namoi,2.47,22,7.16,877,4.08,N/A,N/A,0,0,0,130,0,0,2,0,3,0,2,0,0,0,0,0,0,137,4
30447,Jan-22,Namoi,0,21.7,7.11,942,1.49,4.602542,542.3503,0,9,0,72,0,0,5,4,2,0,0,0,0,0,0,0,0,92,5
30447,Apr-22,Namoi,1.61,21.1,7.63,928,2.98,4.019151,1056.875,0,34,0,67,0,0,2,7,1,0,101,0,0,0,0,0,0,212,6
30447,Jul-22,Namoi,1.14,20.4,6.99,937,1.24,3.394711,743.33,0,17,1,8,0,0,2,1,64,0,0,0,0,0,0,0,0,93,6
